text,system
ジョウホウノカトウセンセイオネガイシタイノデスガ,0
ジョウホウツウシンノカットウジロウデヨロシイデショウカ。,1
エットカトウセンセイトイウカタハイラッシャラナイデショウカ。ガッカノセイシキメイショウハヨクワカラナイノデスガ。,0
カトウデショウカ,1
ハイカトウ。クワエルノカニフジダナノフジ。ヨクアルフツウノカトウナノデスガ。,0
スコシオマチクダサイ。カトウトイウモノハジョウホウケイノガッカニザイセキシテイナイヨウナノデスガ。,1
ハァソウデスカ。,0
シタノオナマエハワカリマスデショウカ。,1
スイマセン。シタノナマエハシツネンシテオリマシテ。,0
ケッコウデスヨスコシシラベテミマス。オマチクダサイ。オウヨウブツリニカトウトモカズとイウモノガゴザイマスガ。,1
オウヨウブツリデハナイトオモウノデスガ。バーチャルリアリティとか,0
ハイ,1
メタバーストカ,0
メタバース,1
ソレニオンガクジョウホウショリナンカモヤッテイルトオモウノデスガ。,0
オウヨウブツリデモソウイッタコトヲケンキュウシテイルヨウデスガ。,1
ソウシマシタラソチラニツナイデイタダケマスデショウカ。,0
ショウチイタシマシタ。,1
