text,len,system
ジョウホウノカトウセンセイオネガイシタイノデスガ,23,0
ジョウホウツウシンノカットウジロウデヨロシイデショウカ,25,1
エットカトウセンセイトイウカタハイラッシャラナイデショウカガッカノセイシキメイショウハヨクワカラナイノデスガ,51,0
カトウデショウカ,7,1
ハイカトウクワエルノカニフジダナノフジヨクアルフツウノカトウナノデスガ,35,0
スコシオマチクダサイカトウトイウモノハジョウホウケイノガッカニザイセキシテイナイヨウナノデスガ,46,1
ハソウデスカ,6,0
シタノオナマエハワカリマスデショウカ,17,1
スイマセンシタノナマエハシツネンシテオリマシテ,23,0
ケッコウデスヨスコシシラベテミマスオマチクダサイオウヨウブツリニカトウトモカズイウモノガゴザイマスガ,50,1
オウヨウブツリデハナイトオモウノデスガバーチャルリアリティ,27,0
ハイ,2,1
メタバーストカ,7,0
メタバース,5,1
ソレニオンガクジョウホウショリナンカモヤッテイルトオモウノデスガ,30,0
オウヨウブツリデモソウイッタコトヲケンキュウシテイルヨウデスガ,30,1
ソウシマシタラソチラニツナイデイタダケマスデショウカ,25,0
ショウチイタシマシタ,9,1
